epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71008,2.36607,5.78076,4.52013,2.28278,0,0,0,0,0,0,0,0,2.6875,5.83168,4.2751,2.34443,7.4e-06,7.4e-06,7.4e-06
2,2.78659,2.47473,5.72516,4.53497,2.2886,0,0,0,0,0,0,0,0,2.66033,5.95736,4.28378,2.31735,1.84084e-05,1.84084e-05,1.84084e-05
3,3.83466,2.44108,5.59973,4.52388,2.2799,0,0,0,0,0,0,0,0,2.50672,5.4054,4.28969,2.22122,2.9307e-05,2.9307e-05,2.9307e-05
4,4.92259,2.19821,4.95719,4.44068,2.12347,0,0,0,0,0,0,0,0,2.13299,4.85396,4.29248,2.03553,4.00956e-05,4.00956e-05,4.00956e-05
5,6.00459,2.07373,4.64987,4.39556,2.01687,0,0,0,0,0,0,0,0,1.82139,4.60089,4.28589,1.85346,5.07744e-05,5.07744e-05,5.07744e-05
6,7.11259,1.89835,4.28973,4.32287,1.83719,0,0,0,0,0,0,0,0,1.65531,4.29613,4.28281,1.73304,6.13432e-05,6.13432e-05,6.13432e-05
7,8.24398,1.79442,4.02949,4.25448,1.74521,0,0,0,0,0,0,0,0,1.51147,4.16067,4.26899,1.67264,7.18022e-05,7.18022e-05,7.18022e-05
8,9.454,1.78287,3.98011,4.16477,1.76416,0,0,0,0,0,0,0,0,1.50192,4.20278,4.25908,1.68165,8.21513e-05,8.21513e-05,8.21513e-05
9,10.5431,1.71578,3.77202,4.06016,1.71472,0.07692,0.0035,0.04021,0.00804,0,0,0,0,1.49111,4.24559,4.24902,1.67726,9.23905e-05,9.23905e-05,9.23905e-05
10,11.6311,1.65523,3.68859,3.9085,1.69305,0.03462,0.01476,0.02423,0.0112,0,0,0,0,1.44409,4.18788,4.21749,1.64202,0.00010252,0.00010252,0.00010252
11,12.702,1.64863,3.66782,3.78094,1.67118,0.04557,0.0303,0.03399,0.02081,0.01923,0.00855,0.01068,0.00906,1.45284,4.18286,4.20274,1.64213,0.000112539,0.000112539,0.000112539
12,13.7813,1.69482,3.72029,3.72414,1.68369,0.03045,0.04235,0.03128,0.01988,0.02071,0.02409,0.01481,0.01053,1.41143,4.15235,4.154,1.59892,0.000122449,0.000122449,0.000122449
13,14.8247,1.65858,3.66833,3.68127,1.6319,0.02614,0.04662,0.0322,0.02028,0.01773,0.02486,0.01357,0.01016,1.41185,4.14901,4.12968,1.59275,0.000132248,0.000132248,0.000132248
14,15.8581,1.58791,3.47791,3.50252,1.66051,0.04655,0.07789,0.05478,0.0398,0.01527,0.03691,0.01644,0.01257,1.43109,4.13984,4.06936,1.63267,0.000141938,0.000141938,0.000141938
